stock,Onay,Hisse Adı,Sektör,id,Halka Arz Tarihi,İlk İşlem Tarihi
A1CAP,Katılım Endeksine Uygun Değildir,A1 Capital,Aracı Kurumlar,155430255,2023-06-09,
A1YEN,Katılım Endeksine Uygun Değildir,Kartal Yenilenebili Enerji,Elektrik Üretim,125137951,2021-07-12,
ACSEL,Katılım Endeksine Uygundur,Acıselsan Acıpayam Selüloz,Kimyasal Ürün,64308569,,2012-07-06
ADEL,Katılım Endeksine Uygun Değildir,Adel Kalemcilik,Kırtasiye,9938297,1996-06-06,1996-06-17
ADESE,Katılım Endeksine Uygun Değildir,Adese AVM,GYO,64308327,2011-10-27,
ADGYO,Katılım Endeksine Uygun Değildir,Adra GYO,GYO,159194897,2023-09-15,2023-09-20
AEFES,Katılım Endeksine Uygun Değildir,Anadolu Efes,Meşrubat / İçecek,6491715,2000-07-24,2000-07-28
AFYON,Katılım Endeksine Uygun Değildir,Afyon Çimento,Çimento,64303175,1991-03-27,1991-03-27
AGESA,Katılım Endeksine Uygun Değildir,Agesa Hayat ve Emeklilik,Sigorta,20708156,2014-11-07,
AGHOL,Katılım Endeksine Uygun Değildir,Anadolu Grubu Holding,Holdingler,6495604,2000-02-10,2000-02-17
AGROT,Katılım Endeksine Uygun Değildir,Agrotech Yüksek Teknoloji,Diğer,161917074,2023-11-23,
AGYO,Katılım Endeksine Uygun Değildir,Atakule GYO,GYO,64303958,2002-02-07,2002-02-14
AHGAZ,Katılım Endeksine Uygun Değildir,Ahlatçı Doğalgaz,Elektrik - Doğalgaz Dağıtım,148115454,2022-12-16,2022-12-22
AHSGY,Katılım Endeksine Uygundur,Ahes GYO,GYO,174538064,,2024-08-29
AKBNK,Katılım Endeksine Uygun Değildir,Akbank,Bankacılık,6492714,1990-07-26,1990-07-26
AKCNS,Katılım Endeksine Uygun Değildir,Akçansa,Çimento,6494499,1996-10-01,1996-09-30
AKENR,Katılım Endeksine Uygun Değildir,Akenerji,Elektrik Üretim,6495165,2000-06-28,
AKFGY,Katılım Endeksine Uygun Değildir,Akfen GYO,GYO,64308214,2011-05-06,2011-05-11
AKFIS,Katılım Endeksine Uygun Değildir,Akfen İnşaat,İnşaat- Taahhüt,181275343,2025-01-23,
AKFYE,Katılım Endeksine Uygundur,Akfen Yenilenebilir Enerji,Elektrik Üretim,151680380,2023-03-10,2023-03-16
AKGRT,Katılım Endeksine Uygun Değildir,Aksigorta,Sigorta,6491712,1994-11-23,1994-11-23
AKMGY,Katılım Endeksine Uygun Değildir,Akmerkez GYO,GYO,64304822,2005-04-15,2005-04-15
AKSA,Katılım Endeksine Uygundur,Aksa,Endüstriyel Tekstil,6495178,1986-09-22,1986-01-13
AKSEN,Katılım Endeksine Uygun Değildir,Aksa Enerji,Elektrik Üretim,6914251,2010-05-14,2010-05-21
AKSGY,Katılım Endeksine Uygun Değildir,Akis GYO,GYO,64310108,,2013-01-09
AKSUE,Katılım Endeksine Uygun Değildir,Aksu Enerji,Elektrik Üretim,64303676,1999-12-23,
AKYHO,Katılım Endeksine Uygundur,Akdeniz Yatırım Holding,Holdingler,120969718,,2012-07-03
ALARK,Katılım Endeksine Uygun Değildir,Alarko Holding,Holdingler,6495318,1974-01-01,1974-01-01
ALBRK,Katılım Endeksine Uygundur,Albaraka Türk,Bankacılık,6499760,2007-06-22,
ALCAR,Katılım Endeksine Uygun Değildir,Alarko Carrier,Dayanıklı Tüketim,64302944,1992-01-27,1992-01-27
ALCTL,Katılım Endeksine Uygundur,Alcatel Teletaş,İletişim Cihazları,6500508,1988-03-22,
ALFAS,Katılım Endeksine Uygun Değildir,Alfa Solar,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,146653452,2022-11-11,2022-11-16
ALGYO,Katılım Endeksine Uygun Değildir,Alarko GYO,GYO,6494281,1996-12-19,1996-12-13
ALKA,Katılım Endeksine Uygundur,Alkim Kağıt,Kağıt Ürünleri,9938466,2000-10-26,
ALKIM,Katılım Endeksine Uygundur,Alkim,Kimyasal Ürün,6491713,2000-02-24,2000-03-02
ALKLC,Katılım Endeksine Uygundur,Altınkılıç Gıda,Gıda,170587779,,2024-06-04
ALTNY,Katılım Endeksine Uygundur,Altınay Savunma,Savunma,169916930,,2024-05-16
ALVES,Katılım Endeksine Uygundur,Alves Kablo,Kablo,166086387,,2024-02-29
ANELE,Katılım Endeksine Uygun Değildir,Anel Elektrik,İnşaat Malzemeleri,8384442,2010-06-11,2010-06-16
ANGEN,Katılım Endeksine Uygundur,Anatolia Biyoteknoloji,Sağlık ve İlaç,128249958,2021-10-15,
ANHYT,Katılım Endeksine Uygun Değildir,Anadolu Hayat Emeklilik A.Ş.,Sigorta,6495356,2000-02-11,2000-02-24
ANSGR,Katılım Endeksine Uygun Değildir,Anadolu Sigorta,Sigorta,6494282,1993-10-11,1993-10-25
ARASE,Katılım Endeksine Uygundur,Doğu Aras Enerji,Elektrik - Doğalgaz Dağıtım,129330227,2021-11-11,2021-11-11
ARCLK,Katılım Endeksine Uygun Değildir,Arçelik,Dayanıklı Tüketim,6494481,1986-01-21,1986-01-21
ARDYZ,Katılım Endeksine Uygundur,ARD Grup Bilişim,Teknoloji,120976300,2020-01-30,2020-02-06
ARENA,Katılım Endeksine Uygun Değildir,Arena Bilgisayar,Bilgisayar Toptancılığı,64303859,2000-10-26,2000-11-02
ARMGD,Katılım Endeksine Uygun Değildir,Armada Gıda,Gıda,19475876,2025-01-03,
ARSAN,Katılım Endeksine Uygun Değildir,Arsan Tekstil,Tekstil Entegre,9938461,1998-06-25,1998-06-25
ARTMS,Katılım Endeksine Uygun Değildir,Artemis Halı,Tekstil Entegre,166446328,2024-03-04,
ARZUM,Katılım Endeksine Uygun Değildir,Arzum Ev Aletleri,Dayanıklı Tüketim,120976822,2020-12-18,
ASELS,Katılım Endeksine Uygundur,Aselsan,Savunma,6500522,1990-08-01,1990-06-01
ASGYO,Katılım Endeksine Uygun Değildir,Asce GYO,GYO,157758987,2023-08-03,2023-08-03
ASTOR,Katılım Endeksine Uygun Değildir,Astor Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,148814695,2023-01-13,2023-01-17
ASUZU,Katılım Endeksine Uygun Değildir,Anadolu Isuzu,Otomotiv,64303286,1997-04-03,1997-04-10
ATAGY,Katılım Endeksine Uygun Değildir,Ata GYO,GYO,64304011,1997-10-01,1997-10-09
ATAKP,Katılım Endeksine Uygundur,Atakey Patates,Gıda,157133365,2023-07-21,
ATATP,Katılım Endeksine Uygundur,ATP Bilgisayar,Teknoloji,124598717,2021-05-28,2021-06-04
ATEKS,Katılım Endeksine Uygun Değildir,Akın Tekstil,Tekstil Entegre,64303179,1996-04-18,1996-05-02
ATLAS,Katılım Endeksine Uygun Değildir,Atlas YO,Yatırım Ortaklıkları,64304013,1994-01-25,1994-02-28
ATSYH,Katılım Endeksine Uygun Değildir,Atlantis YO,Holdingler,64304010,1995-05-15,
AVGYO,Katılım Endeksine Uygun Değildir,Avrasya YO,GYO,64303678,,1996-07-08
AVHOL,Katılım Endeksine Uygun Değildir,Avrupa Yatırım Holding,Holdingler,64308662,2012-12-04,2012-11-30
AVOD,Katılım Endeksine Uygun Değildir,Avod Kurutulmuş Gıda,Gıda,9938707,2011-11-30,2011-12-06
AVPGY,Katılım Endeksine Uygundur,Avrupakent GYO,GYO,163020262,,2023-12-21
AVTUR,Katılım Endeksine Uygun Değildir,Avrasya Petrol&Turistik Tesis,Turizm,64306238,,2007-05-04
AYCES,Katılım Endeksine Uygun Değildir,Altınyunus Çesme,Turizm,64303225,1987-08-28,1987-08-28
AYDEM,Katılım Endeksine Uygun Değildir,Aydem Enerji,Elektrik Üretim,122419124,2021-04-22,
AYEN,Katılım Endeksine Uygundur,Ayen Enerji,Elektrik Üretim,64302999,2000-06-28,2000-07-05
AYES,Katılım Endeksine Uygun Değildir,Ayes Çelik Hasır & Çit,İnşaat Malzemeleri,120969730,2012-07-12,
AYGAZ,Katılım Endeksine Uygun Değildir,Aygaz,Petrol,6491716,1988-01-13,1988-01-13
AZTEK,Katılım Endeksine Uygun Değildir,Aztek Teknoloji,Teknoloji,142541634,2022-08-17,2022-08-17
BAGFS,Katılım Endeksine Uygun Değildir,Bandırma Gübre Fabrikaları A.Ş,Tarım Kimyasalları,6495634,1986-01-28,1986-01-03
BAHKM,Katılım Endeksine Uygundur,Bahadır Kimya,Kimyasal Ürün,173932632,,2024-08-07
BAKAB,Katılım Endeksine Uygundur,Bak Ambalaj,Kağıt Ürünleri,64303289,1998-06-11,1998-06-05
BALAT,Katılım Endeksine Uygun Değildir,Balatacılar Balatacılık,Otomotiv Parçası,120969755,,2012-08-13
BALSU,Katılım Endeksine Uygun Değildir,Balsu Gıda,Gıda,182801093,2025-02-25,
BANVT,Katılım Endeksine Uygundur,Banvit,Hayvancılık,6494523,1992-11-27,1992-11-27
BARMA,Katılım Endeksine Uygun Değildir,Barem Ambalaj,Kağıt Ürünleri,142293781,2022-08-10,2022-08-10
BASCM,Katılım Endeksine Uygun Değildir,Baştaş Başkent Çimento Sanayi,Çimento,120969745,2012-07-01,
BASGZ,Katılım Endeksine Uygundur,Başkent Doğalgaz,Elektrik - Doğalgaz Dağıtım,124598715,2021-06-04,2021-06-11
BAYRK,Katılım Endeksine Uygun Değildir,Bayrak EBT Taban,Tekstil Entegre,120976398,2020-05-29,2020-06-04
BEGYO,Katılım Endeksine Uygundur,Batı Ege GYO,GYO,162598862,,2023-12-08
BERA,Katılım Endeksine Uygundur,Bera Holding,Holdingler,64308645,,2012-11-23
BESLR,Katılım Endeksine Uygun Değildir,Besler Gıda,Gıda,64303695,,1994-05-13
BEYAZ,Katılım Endeksine Uygun Değildir,Beyaz Filo,Ulaştırma-Lojistik,64308431,2012-03-22,
BFREN,Katılım Endeksine Uygun Değildir,Bosch Fren,Otomotiv Parçası,64303274,1993-12-02,1993-11-22
BIENY,Katılım Endeksine Uygundur,Bien Yapı,Seramik,154507906,2023-05-12,2023-05-18
BIGCH,Katılım Endeksine Uygun Değildir,BigChefs,Gıda,154104901,2023-05-05,2023-05-10
BIGEN,Katılım Endeksine Uygun Değildir,Birleşim Grup Enerji,Elektrik Üretim,181989828,2025-02-05,
BIMAS,Katılım Endeksine Uygundur,Bim Birleşik Mağazalar A.Ş,Perakande - Ticaret,6497856,2005-07-08,2005-07-15
BINBN,Katılım Endeksine Uygundur,BinBin,Ulaştırma-Lojistik,176430138,,2024-10-09
BINHO,Katılım Endeksine Uygundur,1000 Yatırımlar,Holdingler,161917073,2023-11-20,2023-11-20
BIOEN,Katılım Endeksine Uygun Değildir,Biotrend Enerji,Elektrik Üretim,122419125,2021-04-21,2021-04-28
BIZIM,Katılım Endeksine Uygun Değildir,Bizim Toptan,Perakande - Ticaret,9668324,2011-01-28,2011-02-03
BJKAS,Katılım Endeksine Uygun Değildir,Beşiktaş,Spor,64304449,2002-02-18,
BLCYT,Katılım Endeksine Uygun Değildir,Bilici Yatırım,Tekstil Entegre,64308305,2011-05-11,2011-05-17
BLUME,Katılım Endeksine Uygun Değildir,Blume Metal Kimya,Turizm,64304506,2002-07-15,
BMSCH,Katılım Endeksine Uygun Değildir,BMS Çelik Hasır,Demir-Çelik Döküm,124598719,2021-06-08,
BMSTL,Katılım Endeksine Uygundur,BMS Birleşik Metal,Demir-Çelik Döküm,137106481,2022-04-27,2022-04-25
BNTAS,Katılım Endeksine Uygundur,Bantaş Bandırma Ambalaj,Kimyasal Ürün,120972581,2015-05-18,2015-05-18
BOBET,Katılım Endeksine Uygun Değildir,Boğaziçi Beton,Çimento,124598718,2021-05-28,2021-06-03
BORLS,Katılım Endeksine Uygun Değildir,Borlease Otomotiv,Ulaştırma-Lojistik,160250593,,2023-10-19
BORSK,Katılım Endeksine Uygundur,Bor Şeker,Gıda,165482104,,2024-02-15
BOSSA,Katılım Endeksine Uygundur,Bossa,Tekstil Entegre,64303318,1995-08-10,1995-08-21
BRISA,Katılım Endeksine Uygundur,Brisa,Otomotiv Lastiği,6493646,1986-01-07,1986-01-07
BRKO,Katılım Endeksine Uygun Değildir,Birko Mensucat,Tekstil Entegre,64308367,1985-05-01,2009-04-30
BRKSN,Katılım Endeksine Uygundur,Berkosan Yalıtım,İnşaat Malzemeleri,64308066,2011-02-01,2011-02-04
BRKVY,Katılım Endeksine Uygun Değildir,Birikim Varlık,Varlık Yönetim,147975650,2022-12-09,2022-12-15
BRLSM,Katılım Endeksine Uygundur,Birlesim Mühendislik,İnşaat Malzemeleri,126415365,2021-08-13,2021-08-20
BRMEN,Katılım Endeksine Uygun Değildir,Birlik Mensucat,Tekstil Entegre,64303314,1996-07-11,1996-07-22
BRSAN,Katılım Endeksine Uygun Değildir,Borusan Birleşik Boru Fab.,Demir-Çelik Temel,6494518,,1994-09-12
BRYAT,Katılım Endeksine Uygun Değildir,Borusan Yatırım,Holdingler,64303317,1996-10-31,
BSOKE,Katılım Endeksine Uygundur,Batı Söke Çimento,Çimento,64303313,2000-04-26,2000-04-26
BTCIM,Katılım Endeksine Uygun Değildir,Batıçim,Çimento,64303312,1995-03-09,1995-03-20
BUCIM,Katılım Endeksine Uygun Değildir,Bursa Çimento,Çimento,64303319,1988-03-28,
BULGS,Katılım Endeksine Uygun Değildir,Bulls GSYO,Yatırım Ortaklıkları,183107549,2025-02-25,
BURCE,Katılım Endeksine Uygundur,Burçelik,Demir-Çelik Döküm,64303679,1992-08-10,1992-08-18
BURVA,Katılım Endeksine Uygundur,Burçelik Vana Sanayii,İnşaat Malzemeleri,64304826,2004-05-06,2004-05-13
BVSAN,Katılım Endeksine Uygun Değildir,Bülbüloğlu Vinç,İnşaat Malzemeleri,150281385,2023-01-30,
BYDNR,Katılım Endeksine Uygun Değildir,Baydöner,Gıda,140214472,2023-08-21,2023-08-21
CANTE,Katılım Endeksine Uygundur,Çan2 Termik A.S,Elektrik Üretim,122419126,2021-04-22,
CASA,Katılım Endeksine Uygun Değildir,Casa Emtia Petrol Kim.Tür.AŞ,Perakande - Ticaret,120969750,,2012-07-24
CATES,Katılım Endeksine Uygundur,Çates Elektrik,Elektrik Üretim,162435209,2023-12-01,
CCOLA,Katılım Endeksine Uygun Değildir,Coca-Cola İçecek A.Ş,Meşrubat / İçecek,6498826,2006-05-05,2006-05-12
CELHA,Katılım Endeksine Uygundur,Çelik Halat,Demir-Çelik Temel,35018550,1986-01-03,1986-01-10
CEMAS,Katılım Endeksine Uygun Değildir,Çemaş Döküm,Demir-Çelik Döküm,64307850,2010-06-28,2010-07-02
CEMTS,Katılım Endeksine Uygundur,Çemtas,Demir-Çelik Temel,64303320,1994-12-26,
CEMZY,Katılım Endeksine Uygundur,Cem Zeytin,Gıda,174842244,2024-09-09,
CEOEM,Katılım Endeksine Uygun Değildir,CEO Event Medya,Medya,120975767,2019-05-23,2019-05-31
CGCAM,Katılım Endeksine Uygun Değildir,Çağdaş Cam,Cam,179959042,,2024-12-17
CIMSA,Katılım Endeksine Uygundur,Çimsa,Çimento,6491717,1986-01-09,1986-01-03
CLEBI,Katılım Endeksine Uygun Değildir,Çelebi,Havayolları ve Hizm.,6495896,1996-11-07,
CMBTN,Katılım Endeksine Uygundur,Çimbeton,Çimento,64303322,1997-12-11,
CMENT,Katılım Endeksine Uygun Değildir,Çimentaş,Çimento,64303323,1986-02-25,
CONSE,Katılım Endeksine Uygun Değildir,Consus Enerji,Elektrik Üretim,136710778,2022-04-20,2022-04-20
COSMO,Katılım Endeksine Uygundur,Cosmos Yatırım Holding,Holdingler,64304004,,1995-01-01
CRDFA,Katılım Endeksine Uygun Değildir,Creditwest Faktoring,Fin.Kiralama ve Faktoring,64303700,1997-12-11,1997-12-18
CRFSA,Katılım Endeksine Uygun Değildir,Carrefoursa,Perakande - Ticaret,64305443,1991-06-05,
CUSAN,Katılım Endeksine Uygun Değildir,Çuhadaroğlu Metal,Demir-Çelik Döküm,120973065,2016-02-12,2016-02-18
CVKMD,Katılım Endeksine Uygundur,Cvk Maden,Madencilik,153331230,2023-04-07,
CWENE,Katılım Endeksine Uygundur,Cw Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,153593933,,2023-05-05
DAGI,Katılım Endeksine Uygun Değildir,Dagi Giyim,Tekstil Entegre,64308173,2011-05-27,2011-06-01
DAPGM,Katılım Endeksine Uygundur,Dap Gayrimenkul,GYO,133292593,2022-02-24,2022-02-24
DARDL,Katılım Endeksine Uygundur,Dardanel,Gıda,64303681,1994-07-28,1995-06-30
DCTTR,Katılım Endeksine Uygundur,Dct Trading,Diğer,173202802,,2024-07-31
DENGE,Katılım Endeksine Uygundur,Denge Holding,Holdingler,64308539,2012-07-26,2012-08-02
DERHL,Katılım Endeksine Uygun Değildir,Derlüks Yatırım Holding,Deri Giyim,120975873,,2019-07-04
DERIM,Katılım Endeksine Uygun Değildir,Derimod,Deri Giyim,64303324,1991-06-03,1991-06-10
DESA,Katılım Endeksine Uygun Değildir,Desa Deri Sanayii,Deri Giyim,64304821,2004-04-28,2004-05-06
DESPC,Katılım Endeksine Uygundur,Despec Bilgisayar,Bilgisayar Toptancılığı,64308018,2010-11-26,2010-12-08
DEVA,Katılım Endeksine Uygun Değildir,Deva Holding,Sağlık ve İlaç,6495898,1986-03-24,1986-03-24
DGATE,Katılım Endeksine Uygundur,Datagate,Bilgisayar Toptancılığı,9938546,2006-02-02,2006-02-10
DGGYO,Katılım Endeksine Uygun Değildir,Doğuş GYO,GYO,64303355,1998-03-19,1998-03-25
DGNMO,Katılım Endeksine Uygundur,Doğanlar Mobilya,Mobilya,9938357,1990-08-01,
DIRIT,Katılım Endeksine Uygun Değildir,Diriteks Diriliş Tekstil,Tekstil Entegre,120969778,2012-08-28,2012-08-28
DITAS,Katılım Endeksine Uygun Değildir,Ditaş Doğan,Otomotiv Parçası,124598474,1991-05-08,1991-05-21
DMRGD,Katılım Endeksine Uygun Değildir,DMR Unlu Mamüller,Gıda,159414542,2023-09-22,
DMSAS,Katılım Endeksine Uygundur,Demisaş,Demir-Çelik Döküm,64303683,,1997-07-24
DNISI,Katılım Endeksine Uygun Değildir,Dinamik Isı Yalıtım,İnşaat Malzemeleri,120976619,2020-09-28,
DOAS,Katılım Endeksine Uygun Değildir,Doğuş Otomotiv,Otomotiv,6497202,2004-06-10,2004-06-17
DOBUR,Katılım Endeksine Uygun Değildir,Big Medya,Medya,64303402,2000-03-21,2000-03-28
DOCO,Katılım Endeksine Uygun Değildir,DO & CO Aktiengesellschaft,Ulaştırma-Lojistik,11659026,2010-11-26,2010-12-02
DOFER,Katılım Endeksine Uygundur,Dofer Yapı,Demir-Çelik Temel,160250594,,2023-10-16
DOFRB,Katılım Endeksine Uygundur,Dof Robotik,Teknoloji,195106107,2025-09-05,
DOGUB,Katılım Endeksine Uygundur,Doğusan,İnşaat Malzemeleri,64303684,1987-07-03,
DOHOL,Katılım Endeksine Uygun Değildir,Doğan Holding,Holdingler,6493735,1993-06-14,1993-06-21
DOKTA,Katılım Endeksine Uygun Değildir,Döktaş Dökümcülük,Otomotiv Parçası,64303327,1986-01-10,1986-01-03
DSTKF,Katılım Endeksine Uygun Değildir,Destek Finans Faktoring,Fin.Kiralama ve Faktoring,181888820,2025-02-06,
DUNYH,Katılım Endeksine Uygun Değildir,Dünya Holding,Gıda,64303699,2025-01-24,
DURDO,Katılım Endeksine Uygun Değildir,Duran Doğan Basım,Kağıt Ürünleri,64303685,1991-07-15,1991-07-22
DURKN,Katılım Endeksine Uygun Değildir,Durukan Şekerleme,Gıda,175374026,,2024-09-17
DYOBY,Katılım Endeksine Uygundur,DYO Boya,Boya,64303690,1987-08-12,1987-08-12
DZGYO,Katılım Endeksine Uygun Değildir,Deniz GYO,GYO,64303682,1995-10-23,
EBEBK,Katılım Endeksine Uygundur,Ebebek,Perakande - Ticaret,158664611,2023-09-06,2023-09-07
ECILC,Katılım Endeksine Uygun Değildir,Eczacıbaşı İlaç,Sağlık ve İlaç,64302943,1990-06-25,1990-06-25
ECZYT,Katılım Endeksine Uygun Değildir,Eczacıbaşı Yatırım,Holdingler,64303328,1986-01-13,1986-01-13
EDATA,Katılım Endeksine Uygundur,E-Data Teknoloji,Teknoloji,124598723,2021-06-29,
EDIP,Katılım Endeksine Uygundur,Edip Gayrimenkul Yat. San.,GYO,64303329,1991-01-18,1990-12-10
EFORC,Katılım Endeksine Uygundur,Efor Yat. San.,Gıda,171749416,2024-07-05,
EGEEN,Katılım Endeksine Uygun Değildir,Ege Endüstri,Otomotiv Parçası,64303330,1986-10-31,1986-10-31
EGEGY,Katılım Endeksine Uygun Değildir,Egeyapı GYO,GYO,44136983,1997-09-10,
EGEPO,Katılım Endeksine Uygundur,Egepol Hastanesi,Sağlık ve İlaç,64303331,2021-08-26,
EGGUB,Katılım Endeksine Uygundur,Ege Gübre,Tarım Kimyasalları,6500532,1986-01-06,1986-01-06
EGPRO,Katılım Endeksine Uygundur,Ege Profil,İnşaat Malzemeleri,64303331,1993-11-15,
EGSER,Katılım Endeksine Uygun Değildir,Ege Seramik,Seramik,64303332,1993-02-09,1993-01-22
EKGYO,Katılım Endeksine Uygundur,Emlak Konut GYO,GYO,8401142,2010-11-24,2010-12-02
EKIZ,Katılım Endeksine Uygun Değildir,Ekiz Yağ ve Sabun,Gıda,64307895,2010-07-13,2010-07-20
EKOS,Katılım Endeksine Uygun Değildir,Ekos Teknoloji,Endüstriyel Makine -Teçhizat Üretim,161917075,2023-11-21,2023-11-21
EKSUN,Katılım Endeksine Uygundur,Eksun Gıda,Gıda,152054127,2023-03-17,
ELITE,Katılım Endeksine Uygundur,Elite Organik Gıda,Gıda,129457840,2021-11-09,
EMKEL,Katılım Endeksine Uygun Değildir,Emek Elektrik,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,64303689,1998-05-07,1998-05-07
EMNIS,Katılım Endeksine Uygun Değildir,Eminiş Ambalaj,Boya,64303351,1995-12-13,1995-12-18
ENDAE,Katılım Endeksine Uygun Değildir,Enda Enerji,Elektrik Üretim,182127534,2025-02-13,
ENERY,Katılım Endeksine Uygun Değildir,Enerya Enerji,Elektrik - Doğalgaz Dağıtım,158058250,2023-08-16,2023-08-23
ENJSA,Katılım Endeksine Uygundur,Enerjisa Enerji,Elektrik - Doğalgaz Dağıtım,42859344,2018-02-02,2018-02-08
ENKAI,Katılım Endeksine Uygun Değildir,Enka İnşaat,İnşaat- Taahhüt,6491719,1986-01-01,
ENSRI,Katılım Endeksine Uygun Değildir,Ensari Deri,Deri Giyim,134953127,2022-03-22,
ENTRA,Katılım Endeksine Uygun Değildir,Ic Enterra Yenilenebilir,Elektrik Üretim,18278856,2024-03-29,
EPLAS,Katılım Endeksine Uygun Değildir,Egeplast,İnşaat Malzemeleri,64303333,1994-03-03,
