stock,id,ipoDate,firstTradeDate
A1CAP,155430255,2023-06-09,
A1YEN,125137951,2021-07-12,
ACSEL,64308569,,2012-07-06
ADEL,9938297,1996-06-06,1996-06-17
ADESE,64308327,2011-10-27,
ADGYO,159194897,2023-09-15,2023-09-20
AEFES,6491715,2000-07-24,2000-07-28
AFYON,64303175,1991-03-27,1991-03-27
AGESA,20708156,2014-11-07,
AGHOL,6495604,2000-02-10,2000-02-17
AGROT,161917074,2023-11-23,
AGYO,64303958,2002-02-07,2002-02-14
AHGAZ,148115454,2022-12-16,2022-12-22
AHSGY,174538064,,2024-08-29
AKBNK,6492714,1990-07-26,1990-07-26
AKCNS,6494499,1996-10-01,1996-09-30
AKENR,6495165,2000-06-28,
AKFGY,64308214,2011-05-06,2011-05-11
AKFIS,181275343,2025-01-23,
AKFYE,151680380,2023-03-10,2023-03-16
AKGRT,6491712,1994-11-23,1994-11-23
AKMGY,64304822,2005-04-15,2005-04-15
AKSA,6495178,1986-09-22,1986-01-13
AKSEN,6914251,2010-05-14,2010-05-21
AKSGY,64310108,,2013-01-09
AKSUE,64303676,1999-12-23,
AKYHO,120969718,,2012-07-03
ALARK,6495318,1974-01-01,1974-01-01
ALBRK,6499760,2007-06-22,
ALCAR,64302944,1992-01-27,1992-01-27
ALCTL,6500508,1988-03-22,
ALFAS,146653452,2022-11-11,2022-11-16
ALGYO,6494281,1996-12-19,1996-12-13
ALKA,9938466,2000-10-26,
ALKIM,6491713,2000-02-24,2000-03-02
ALKLC,170587779,,2024-06-04
ALTNY,169916930,,2024-05-16
ALVES,166086387,,2024-02-29
ANELE,8384442,2010-06-11,2010-06-16
ANGEN,128249958,2021-10-15,
ANHYT,6495356,2000-02-11,2000-02-24
ANSGR,6494282,1993-10-11,1993-10-25
ARASE,129330227,2021-11-11,2021-11-11
ARCLK,6494481,1986-01-21,1986-01-21
ARDYZ,120976300,2020-01-30,2020-02-06
ARENA,64303859,2000-10-26,2000-11-02
ARMGD,19475876,2025-01-03,
ARSAN,9938461,1998-06-25,1998-06-25
ARTMS,166446328,2024-03-04,
ARZUM,120976822,2020-12-18,
ASELS,6500522,1990-08-01,1990-06-01
ASGYO,157758987,2023-08-03,2023-08-03
ASTOR,148814695,2023-01-13,2023-01-17
ASUZU,64303286,1997-04-03,1997-04-10
ATAGY,64304011,1997-10-01,1997-10-09
ATAKP,157133365,2023-07-21,
ATATP,124598717,2021-05-28,2021-06-04
ATEKS,64303179,1996-04-18,1996-05-02
ATLAS,64304013,1994-01-25,1994-02-28
ATSYH,64304010,1995-05-15,
AVGYO,64303678,,1996-07-08
AVHOL,64308662,2012-12-04,2012-11-30
AVOD,9938707,2011-11-30,2011-12-06
AVPGY,163020262,,2023-12-21
AVTUR,64306238,,2007-05-04
AYCES,64303225,1987-08-28,1987-08-28
AYDEM,122419124,2021-04-22,
AYEN,64302999,2000-06-28,2000-07-05
AYES,120969730,2012-07-12,
AYGAZ,6491716,1988-01-13,1988-01-13
AZTEK,142541634,2022-08-17,2022-08-17
BAGFS,6495634,1986-01-28,1986-01-03
BAHKM,173932632,,2024-08-07
BAKAB,64303289,1998-06-11,1998-06-05
BALAT,120969755,,2012-08-13
BALSU,182801093,2025-02-25,
BANVT,6494523,1992-11-27,1992-11-27
BARMA,142293781,2022-08-10,2022-08-10
BASCM,120969745,2012-07-01,
BASGZ,124598715,2021-06-04,2021-06-11
BAYRK,120976398,2020-05-29,2020-06-04
BEGYO,162598862,,2023-12-08
BERA,64308645,,2012-11-23
BESLR,64303695,,1994-05-13
BEYAZ,64308431,2012-03-22,
BFREN,64303274,1993-12-02,1993-11-22
BIENY,154507906,2023-05-12,2023-05-18
BIGCH,154104901,2023-05-05,2023-05-10
BIGEN,181989828,2025-02-05,
BIMAS,6497856,2005-07-08,2005-07-15
BINBN,176430138,,2024-10-09
BINHO,161917073,2023-11-20,2023-11-20
BIOEN,122419125,2021-04-21,2021-04-28
BIZIM,9668324,2011-01-28,2011-02-03
BJKAS,64304449,2002-02-18,
BLCYT,64308305,2011-05-11,2011-05-17
BLUME,64304506,2002-07-15,
BMSCH,124598719,2021-06-08,
BMSTL,137106481,2022-04-27,2022-04-25
BNTAS,120972581,2015-05-18,2015-05-18
BOBET,124598718,2021-05-28,2021-06-03
BORLS,160250593,,2023-10-19
BORSK,165482104,,2024-02-15
BOSSA,64303318,1995-08-10,1995-08-21
BRISA,6493646,1986-01-07,1986-01-07
BRKO,64308367,1985-05-01,2009-04-30
BRKSN,64308066,2011-02-01,2011-02-04
BRKVY,147975650,2022-12-09,2022-12-15
BRLSM,126415365,2021-08-13,2021-08-20
BRMEN,64303314,1996-07-11,1996-07-22
BRSAN,6494518,,1994-09-12
BRYAT,64303317,1996-10-31,
BSOKE,64303313,2000-04-26,2000-04-26
BTCIM,64303312,1995-03-09,1995-03-20
BUCIM,64303319,1988-03-28,
BULGS,183107549,2025-02-25,
BURCE,64303679,1992-08-10,1992-08-18
BURVA,64304826,2004-05-06,2004-05-13
BVSAN,150281385,2023-01-30,
BYDNR,140214472,2023-08-21,2023-08-21
CANTE,122419126,2021-04-22,
CASA,120969750,,2012-07-24
CATES,162435209,2023-12-01,
CCOLA,6498826,2006-05-05,2006-05-12
CELHA,35018550,1986-01-03,1986-01-10
CEMAS,64307850,2010-06-28,2010-07-02
CEMTS,64303320,1994-12-26,
CEMZY,174842244,2024-09-09,
CEOEM,120975767,2019-05-23,2019-05-31
CGCAM,179959042,,2024-12-17
CIMSA,6491717,1986-01-09,1986-01-03
CLEBI,6495896,1996-11-07,
CMBTN,64303322,1997-12-11,
CMENT,64303323,1986-02-25,
CONSE,136710778,2022-04-20,2022-04-20
COSMO,64304004,,1995-01-01
CRDFA,64303700,1997-12-11,1997-12-18
CRFSA,64305443,1991-06-05,
CUSAN,120973065,2016-02-12,2016-02-18
CVKMD,153331230,2023-04-07,
CWENE,153593933,,2023-05-05
DAGI,64308173,2011-05-27,2011-06-01
DAPGM,133292593,2022-02-24,2022-02-24
DARDL,64303681,1994-07-28,1995-06-30
DCTTR,173202802,,2024-07-31
DENGE,64308539,2012-07-26,2012-08-02
DERHL,120975873,,2019-07-04
DERIM,64303324,1991-06-03,1991-06-10
DESA,64304821,2004-04-28,2004-05-06
DESPC,64308018,2010-11-26,2010-12-08
DEVA,6495898,1986-03-24,1986-03-24
DGATE,9938546,2006-02-02,2006-02-10
DGGYO,64303355,1998-03-19,1998-03-25
DGNMO,9938357,1990-08-01,
DIRIT,120969778,2012-08-28,2012-08-28
DITAS,124598474,1991-05-08,1991-05-21
DMRGD,159414542,2023-09-22,
DMSAS,64303683,,1997-07-24
DNISI,120976619,2020-09-28,
DOAS,6497202,2004-06-10,2004-06-17
DOBUR,64303402,2000-03-21,2000-03-28
DOCO,11659026,2010-11-26,2010-12-02
DOFER,160250594,,2023-10-16
DOFRB,195106107,2025-09-05,
DOGUB,64303684,1987-07-03,
DOHOL,6493735,1993-06-14,1993-06-21
DOKTA,64303327,1986-01-10,1986-01-03
DSTKF,181888820,2025-02-06,
DUNYH,64303699,2025-01-24,
DURDO,64303685,1991-07-15,1991-07-22
DURKN,175374026,,2024-09-17
DYOBY,64303690,1987-08-12,1987-08-12
DZGYO,64303682,1995-10-23,
EBEBK,158664611,2023-09-06,2023-09-07
ECILC,64302943,1990-06-25,1990-06-25
ECZYT,64303328,1986-01-13,1986-01-13
EDATA,124598723,2021-06-29,
EDIP,64303329,1991-01-18,1990-12-10
EFORC,171749416,2024-07-05,
EGEEN,64303330,1986-10-31,1986-10-31
EGEGY,44136983,1997-09-10,
EGEPO,64303331,2021-08-26,
EGGUB,6500532,1986-01-06,1986-01-06
EGPRO,64303331,1993-11-15,
EGSER,64303332,1993-02-09,1993-01-22
EKGYO,8401142,2010-11-24,2010-12-02
EKIZ,64307895,2010-07-13,2010-07-20
EKOS,161917075,2023-11-21,2023-11-21
EKSUN,152054127,2023-03-17,
ELITE,129457840,2021-11-09,
EMKEL,64303689,1998-05-07,1998-05-07
EMNIS,64303351,1995-12-13,1995-12-18
ENDAE,182127534,2025-02-13,
ENERY,158058250,2023-08-16,2023-08-23
ENJSA,42859344,2018-02-02,2018-02-08
ENKAI,6491719,1986-01-01,
ENSRI,134953127,2022-03-22,
ENTRA,18278856,2024-03-29,
EPLAS,64303333,1994-03-03,
ERBOS,64303352,1995-04-10,1995-04-14
ERCB,131753335,2022-01-13,2022-01-13
EREGL,6491721,1986-01-13,1986-01-13
ERSU,64303688,2000-03-23,
ESCAR,125137950,2021-07-08,2021-07-13
ESCOM,64304001,,2000-07-20
ESEN,120976682,2020-10-02,2020-10-09
ETILR,64308507,2012-07-16,2012-07-16
ETYAT,64306938,2008-04-17,2008-04-16
EUHOL,64307854,2010-06-10,2010-06-21
EUKYO,64308269,,2011-07-27
EUPWR,153340563,2023-04-20,
EUREN,139141836,2022-06-08,
EUYO,64305349,2006-06-07,2006-06-07
EYGYO,148418634,,2022-12-29
FADE,120976584,2020-07-30,2020-08-06
FENER,64304540,2004-02-12,2004-02-20
FLAP,64308488,2012-06-12,
FMIZP,64303354,1990-08-20,1990-07-31
FONET,120974003,2017-05-04,2017-05-04
FORMT,120974845,,2018-05-22
FORTE,155430253,2023-06-14,2023-06-14
FRIGO,64303686,1995-04-06,1995-04-25
FROTO,6491722,1986-01-13,1986-01-13
FZLGY,157133366,2023-07-21,
GARAN,6491729,1990-06-06,1990-06-06
GARFA,6500534,1993-11-29,1993-12-20
GEDIK,9938562,2010-07-21,2023-09-04
GEDZA,120970695,,2014-01-21
GENIL,126415361,2021-07-30,
GENTS,64303356,1990-02-02,1990-02-02
GEREL,64304490,2003-05-05,2003-05-11
GESAN,126415364,2021-08-13,
GIPTA,159005039,2023-09-14,2023-09-14
GLBMD,64308310,2011-06-23,2011-06-28
GLCVY,128249959,2021-10-15,2023-07-26
GLRMK,180793686,,2025-01-17
GLRYH,181361309,2011-01-01,
GLYHO,64303058,1995-05-02,1995-05-22
GMTAS,129457842,2021-11-12,2021-11-12
GOKNR,150549852,2023-03-03,
GOLTS,64303357,1995-02-23,1995-03-06
GOODY,64302938,1986-01-15,1986-01-15
GOZDE,9938613,2010-01-25,2010-01-25
GRNYO,64304002,1996-11-07,1996-11-18
GRSEL,134161491,2022-03-09,2022-03-09
GRTHO,153593932,,2023-03-26
GSDDE,64303270,1995-02-07,1995-02-20
GSDHO,6496110,1999-11-04,
GSRAY,64304456,2002-02-14,2002-02-20
GUBRF,6496111,1986-01-06,1986-01-03
GUNDG,174322255,,2024-08-22
GWIND,121503952,2021-04-16,2021-04-22
GZNMI,134070221,2022-03-08,2022-03-08
HALKB,6499676,2007-05-03,2007-05-10
HATEK,64308046,2011-02-11,
HATSN,159194898,2023-09-22,2023-09-22
HDFGS,120972372,2015-01-23,2015-02-03
HEDEF,128249960,2021-10-15,
HEKTS,9938345,1986-01-13,1986-01-13
HKTM,142487918,2022-08-12,
HLGYO,12659732,2013-02-15,
HOROZ,170935600,,2024-06-07
HRKET,170231800,,2024-05-23
HTTBT,134070220,2022-02-25,
HUBVC,64305884,,2006-12-08
HUNER,133509681,2022-02-21,2022-02-21
HURGZ,64303359,1992-02-25,1992-02-25
ICBCT,64303269,1990-05-23,1990-05-23
ICUGS,64304009,2000-07-05,2000-07-05
IDGYO,64307863,2010-06-24,2010-07-01
IEYHO,64303186,1998-08-06,1998-08-13
IHAAS,128645059,2021-10-27,2021-11-03
IHEVA,64303692,1996-09-26,1996-09-26
IHGZT,64307844,2010-06-04,2010-06-14
IHLAS,64303693,1994-12-07,
IHLGM,64303208,1989-12-01,
IHYAY,64307974,2010-10-26,2010-11-05
IMASM,136829377,2022-04-29,
INDES,6500605,2004-06-17,2004-06-24
INFO,64308311,2011-10-04,2011-10-11
INGRM,64305333,,2006-06-15
INTEK,120969731,2012-07-09,
INTEM,64303052,1990-03-16,1990-03-16
INVEO,64304020,1999-04-13,1999-04-16
INVES,134161490,2022-03-01,2022-03-01
TRENJ,64304019,2000-06-27,2000-06-27
ISATR,10439764,1986-01-08,1998-05-07
ISBIR,120969819,,2012-10-23
ISBTR,120961746,1986-01-08,1998-05-07
ISCTR,6491730,1986-01-08,1998-05-07
ISDMR,47006627,,2016-03-28
ISFIN,64304014,2000-03-21,2000-03-24
ISGSY,64304817,2004-10-14,
ISGYO,6491725,1999-12-01,
ISKPL,120976883,2021-01-21,
ISKUR,120961842,,1998-05-07
ISMEN,6500771,2007-05-11,2007-05-18
ISSEN,111960910,2021-11-12,2021-11-18
ISYAT,64303694,1996-04-01,1996-04-15
IZENR,157824129,2023-08-16,2023-08-16
IZFAS,64309176,,2014-07-04
IZINV,64308985,,2013-11-12
IZMDC,64303361,1986-01-24,1986-01-24
JANTS,64308731,,2012-08-28
KAPLM,64303362,1995-08-23,1995-09-04
KAREL,64305682,2006-10-13,2006-10-20
KARSN,64303075,2000-02-15,2000-02-21
KARTN,64303364,1986-01-06,1986-01-10
KATMR,9938633,2010-11-05,2010-11-11
KAYSE,154507905,2023-05-18,2023-05-18
KBORU,162798610,,2023-12-14
KCAER,139769753,2022-06-30,
KCHOL,6491726,1986-01-10,1986-01-10
KENT,64303365,1990-11-05,
KERVN,64303321,1997-07-15,1997-07-24
KFEIN,120974861,2018-05-11,2018-05-16
KGYO,6495597,1998-06-11,1998-06-18
KIMMR,127280634,2021-09-17,2021-09-22
KLGYO,64308184,2011-04-15,2011-04-20
KLKIM,122419128,2021-05-07,
KLMSN,9938290,1997-08-14,1997-08-21
KLNMA,64303277,1991-03-06,1991-02-26
KLRHO,140214455,2022-07-07,
KLSER,157074936,2023-07-20,
KLSYN,133985182,2022-03-04,2022-03-04
KLYPV,182307537,2023-06-12,
KMPUR,137106480,2022-04-28,2022-04-28
KNFRT,64303696,1996-05-29,1996-06-10
KOCMT,169787511,2024-05-17,
KONKA,129457843,2021-11-26,2021-11-26
KONTR,120976679,2020-10-13,2020-10-19
KONYA,64303367,1990-10-26,1990-10-26
KOPOL,153331231,2023-04-07,
KORDS,9598482,1986-01-06,1986-01-03
KOTON,169323827,,2024-05-10
TRMET,8110829,2003-02-05,2003-03-05
TRALT,6500931,2010-02-05,2010-02-12
KRDMA,120961703,1998-06-01,1998-06-08
KRDMB,120961704,1998-06-01,1998-06-08
KRDMD,6496115,1998-06-01,1998-06-08
KRGYO,64309123,2014-05-06,2014-05-06
KRONT,64308168,2011-05-18,
KRPLS,141334092,2022-07-28,2022-07-28
KRSTL,64303697,1997-08-07,1997-08-26
KRTEK,64303363,1994-11-14,1994-11-17
KRVGD,120976792,2020-11-27,2020-12-04
KSTUR,120969820,,2012-10-23
KTLEV,155430254,2023-06-07,2023-06-12
KTSKR,124598724,2021-07-02,2021-07-08
KUTPO,64303368,1990-09-19,1990-09-20
KUVVA,64303265,,1998-08-07
KUYAS,64309713,,2012-09-13
KZBGY,126415363,2021-08-12,
KZGYO,158399484,2023-08-28,
LIDER,136094601,2022-04-04,2022-04-04
LIDFA,119260403,2014-06-12,2014-06-19
LILAK,169648354,2024-03-03,
LINK,149076091,2000-10-19,2000-10-26
LKMNH,9938637,2011-01-26,
LMKDC,165753075,,2024-02-22
LOGO,9938281,2000-05-01,
LRSHO,64307709,1994-06-28,
LUKSK,64303369,1991-04-29,1991-05-14
LYDHO,64303698,1993-09-24,
LYDYE,64308563,2012-11-10,
MAALT,64303181,1987-08-28,1987-08-28
MACKO,148945002,2023-01-20,2023-01-26
MAGEN,127218859,,2021-09-30
MAKIM,139628554,2022-06-17,2022-06-17
MAKTK,64303180,1986-01-24,1986-02-03
MANAS,125228598,2021-07-14,2021-07-27
MARBL,161300242,2023-11-08,
MARKA,64304845,2005-05-04,
MARMR,195450967,2025-09-16,
MARTI,64307870,1990-02-09,1990-02-09
MAVI,37412325,2017-06-09,
MEDTR,124598725,2021-06-25,2021-07-02
MEGAP,64308449,2012-08-08,
MEGMT,162798612,,2023-12-15
MEKAG,160126509,,2023-10-12
MEPET,64308257,2011-07-21,2011-07-25
MERCN,124598716,2021-05-21,
MERIT,12739087,2012-11-27,
MERKO,64303001,1994-10-06,
METRO,46536001,,1998-03-12
MGROS,6495192,1991-02-27,
MHRGY,160307304,2023-10-18,2023-10-18
MIATK,129445194,2021-11-16,2021-11-22
MMCAS,64308362,2011-12-02,2011-12-05
MNDRS,64303961,2000-07-20,
MNDTR,64303272,1991-02-01,1991-02-01
MOBTL,149592884,2021-11-19,2021-11-25
MOGAN,166374319,2024-03-07,
MOPAS,181441068,2025-01-29,
MPARK,42529058,2018-02-06,
MRGYO,64307870,2010-09-24,2010-09-24
MRSHL,64303183,1990-10-17,1990-11-07
MSGYO,120973827,2017-01-12,2017-01-19
MTRKS,121299606,2021-03-31,2021-04-06
MTRYO,64304003,1999-01-12,1999-01-12
MZHLD,64303184,1997-09-17,
NATEN,120975940,2019-08-01,2019-08-08
NETAS,64303203,1993-03-03,
NIBAS,64308445,2012-02-27,2012-03-05
NTGAZ,121299604,2021-03-28,2021-04-01
NTHOL,6494577,1989-10-05,1989-10-05
NUGYO,64303206,1999-12-09,1999-12-15
NUHCM,64303204,2000-02-17,2000-02-11
OBAMS,166151911,,2024-03-01
OBASE,141526832,2022-08-03,
ODAS,13276438,2013-05-14,2013-05-21
ODINE,130269478,2024-03-24,
OFSYM,139195255,2023-08-11,2023-08-16
ONCSM,148814694,2022-12-29,
ONRYT,170285274,2024-05-28,
ORCAY,126415366,2021-08-27,2021-09-02
ORGE,10605019,2012-05-08,
ORMA,120969851,,2012-10-23
OSMEN,64308526,2012-02-14,2012-02-14
OSTIM,120969686,,2012-05-10
OTKAR,34515216,1995-04-13,
OTTO,64308796,2013-05-20,2013-05-20
OYAKC,6494497,1987-07-17,
OYAYO,64306239,2007-04-27,2007-05-04
OYLUM,64308430,2012-04-26,2012-05-04
OYYAT,124598720,2021-06-04,2023-10-02
OZATD,174842243,,2024-08-29
OZGYO,64303209,1994-09-07,1995-08-21
OZKGY,64308408,2012-02-10,2012-02-15
OZRDN,64309401,2015-02-13,2015-02-18
OZSUB,147680266,2022-11-23,
OZYSR,170351885,,2024-05-29
PAGYO,124221589,2013-05-17,2013-05-23
PAMEL,64309150,2014-06-09,2014-06-13
PAPIL,23377703,2019-11-29,
PARSN,64303050,1990-10-16,1990-10-16
PASEU,155369397,2023-06-14,2023-06-14
PATEK,165337623,2024-02-13,
PCILT,129712712,2021-11-25,
PEKGY,64310622,2018-02-16,2018-02-21
PENGD,64303210,1998-04-16,1998-04-22
PENTA,122799054,2021-05-07,
PETKM,6494287,1990-07-09,1990-07-09
PETUN,6495544,2000-08-11,1986-02-03
PGSUS,13100914,2013-04-19,
PINSU,64303261,1987-08-28,1987-08-28
PKART,64304827,2004-08-11,2004-08-11
PKENT,64303211,1991-09-10,1991-09-10
PLTUR,147859945,2022-12-09,2022-12-14
PNLSN,132629364,2022-02-11,2022-02-18
PNSUT,6495545,1986-02-03,1986-02-03
POLHO,10667384,,2012-05-24
POLTK,64309086,,2014-03-06
PRDGS,139456596,2022-06-15,2022-06-15
PRKAB,64303262,1986-01-17,
PRKME,145651542,1997-10-14,1997-10-04
PRZMA,64308453,2012-05-10,
PSDTC,120972206,2014-11-07,2014-11-12
PSGYO,130784066,2021-12-10,2021-12-16
QNBFK,179981866,1993-11-05,
QNBTR,64303000,2018-11-02,
QUAGR,121357148,2021-04-06,2021-04-09
RALYH,64303315,1996-10-17,1996-10-30
RAYSG,64303263,1997-07-17,1997-07-24
REEDR,159194896,2023-09-21,2023-09-21
RGYAS,168394836,2024-04-26,
RNPOL,130481537,2021-12-01,2021-12-06
RODRG,64308898,2013-07-30,2013-08-13
ROYAL,64308765,,2013-05-03
RTALB,64309142,2014-05-27,
RUBNS,140490209,2022-07-06,2022-07-06
RUZYE,64303677,2000-05-17,
RYGYO,64307877,2010-07-12,2010-07-12
RYSAS,64305197,2006-02-02,2006-02-10
SAFKR,120974593,2018-01-11,2018-01-16
SAHOL,6494478,1997-07-02,1997-07-08
SAMAT,64308281,2011-06-17,2011-06-24
SANEL,64308989,2013-11-25,2013-11-25
SANFM,64308472,2012-04-12,2012-04-18
SANKO,6495134,2000-09-28,2000-10-05
SARKY,64303049,,1986-01-01
SASA,64303264,1996-11-01,1996-10-31
SAYAS,64308830,2013-06-24,2013-06-28
SDTTR,148622922,2022-12-29,
SEGMN,171749417,,2024-06-23
SEGYO,138768413,2022-06-07,2022-06-07
SEKFK,64304830,2004-07-15,2004-07-21
SEKUR,62745803,2013-10-02,2013-10-07
SELEC,6498791,2006-04-21,
SELVA,124598722,2021-06-18,
SERNT,181989829,2025-02-04,
SEYKM,64309615,2015-07-28,2020-05-08
SILVR,64305346,2006-06-19,2006-06-23
SISE,6491731,1986-01-13,1986-01-03
SKBNK,6494306,1997-04-03,1997-04-10
SKTAS,64303266,1995-03-23,1995-04-03
SKYLP,64308450,2012-05-30,
SKYMD,162435210,2023-09-08,2023-11-21
SMART,134953128,2019-05-09,2019-05-16
SMRTG,134953128,2022-03-24,
SMRVA,180030706,2024-12-18,
SNGYO,64306319,2007-06-15,2007-06-22
SNICA,146900594,2022-11-18,
SNKRN,64309410,2015-02-27,2015-03-04
SNPAM,64303268,1994-12-12,1994-12-26
SODSN,120969699,,2012-05-31
SOKE,64303313,2000-04-26,2000-04-26
SOKM,44486722,2018-05-12,2018-05-18
SONME,64303267,1991-09-23,1991-09-23
SRVGY,64308760,2013-04-18,2013-04-24
SUMAS,120974669,2018-01-01,
SUNTK,137604542,2022-05-20,2022-05-20
SURGY,162798611,,2023-12-14
SUWEN,136638982,2022-04-21,
TABGD,160626565,,2023-10-26
TARKM,159005038,2023-09-06,2023-09-12
TATEN,157824130,2023-08-17,2023-08-17
TATGD,6495549,1993-07-28,
TAVHL,6499546,2007-02-16,
TBORG,64303278,1989-09-08,1989-11-29
TCELL,6492797,2000-07-03,2000-07-11
TCKRC,174106474,2024-08-15,
TDGYO,64310392,2018-02-16,2018-02-23
TEHOL,64304012,,1992-10-10
TEKTU,64304015,2000-08-03,2000-08-10
TERA,61871287,2022-12-16,2022-12-22
TEZOL,126742228,2021-09-10,2021-09-15
TGSAS,64308462,2012-05-31,
THYAO,6495582,1990-12-20,
TKFEN,6499944,2007-11-16,2007-11-23
TKNSA,10618082,2012-05-11,2012-05-17
TLMAN,120974586,2018-01-19,2018-01-24
TMPOL,30353076,2013-12-09,
TMSN,12111976,2012-11-30,2012-12-05
TNZTP,148878427,2023-01-06,
TOASO,6491727,1991-07-01,1991-07-01
TRCAS,6494535,1992-06-04,
TRGYO,8569750,2010-10-15,2010-10-21
TRHOL,64303963,1994-08-18,
TRILC,120976967,2021-03-05,
TSGYO,64307799,2010-04-02,2010-04-09
TSKB,6493650,1986-04-10,1986-12-26
TSPOR,64304816,2005-04-10,2005-04-10
TTKOM,6500204,2008-05-09,2008-05-15
TTRAK,6497303,2004-06-03,2004-06-04
TUCLK,64309147,2014-06-12,2014-06-16
TUKAS,64303011,1994-11-22,
TUPRS,6493639,1991-05-30,
TUREX,121299605,2021-04-02,
TURGG,120970374,2013-07-22,2013-07-24
TURSG,120961744,1994-11-14,1995-01-25
UFUK,64303701,,2006-11-09
ULAS,120969744,2012-07-30,2012-08-06
ULKER,6497298,1996-10-14,2004-02-23
ULUFA,128847086,2021-11-05,
ULUSE,120972215,2014-11-13,
ULUUN,120972214,2014-11-14,2014-11-20
UMPAS,120972184,2014-12-18,2014-12-18
UNLU,124598721,2022-06-01,
USAK,9938392,1990-11-28,1990-11-30
VAKBN,6498365,,2005-11-18
VAKFN,64303279,1991-04-24,1991-04-24
VAKKO,64303281,1998-03-30,1998-04-03
VANGD,64308283,,2011-08-18
VBTYZ,125137949,2021-07-06,
VERTU,64309580,2015-11-12,2015-11-17
VERUS,118906960,2013-11-12,
VESBE,6498792,2006-04-12,2006-04-21
VESTL,6491732,1990-06-27,1990-06-27
VKFYO,64303691,1991-08-23,1991-06-20
VKGYO,64303280,1996-12-24,1996-12-26
VKING,8199172,1994-10-13,1994-10-24
VRGYO,160626564,2023-10-20,2023-10-27
VSNMD,182127535,,2025-02-11
YAPRK,120964720,,2011-05-13
YATAS,9938398,1996-08-08,1996-08-19
YAYLA,137697464,2013-11-14,2015-07-10
YBTAS,120969754,,2012-08-09
YEOTK,126415367,2021-08-31,2021-09-03
YESIL,64304496,2004-03-02,
YGGYO,64308911,,2013-08-16
YGYO,64303360,,1997-12-23
YIGIT,170587780,2024-06-06,
YKBNK,6491733,1987-05-28,1987-05-28
YKSLN,120976162,2019-11-14,
YONGA,120969741,2012-07-19,2012-07-19
YUNSA,64303650,1990-04-06,1990-04-06
YYAPI,64303316,2004-03-02,
YYLGD,137697464,2022-05-20,2022-05-20
ZEDUR,120964683,,2010-11-05
ZOREN,6494311,2000-05-17,2022-11-14
ZRGYO,122419127,2021-04-30,2021-05-06
